No.,Name,Crime Rate,Crowded,Poverty,Unemployed,No HS Diploma,Age under or over,Income,Hardship,SNAP,single mother,White,Black,Asian,Hispanic,Rank
27,East Garfield Park,24.646,8.2,42.4,19.6,21.3,43.2,12961,83,0.47,58.68,1.13,97.2,0.14,0.99,extreme
28,Near West Side,16.08,3.8,20.6,10.7,9.6,22.2,44689,15,0.11,28.55,25.27,52.88,10.66,9.51,extreme
29,North Lawndale,18.608,7.4,43.1,21.2,27.6,42.7,12034,87,0.48,62.52,0.92,93.77,0.14,4.54,extreme
30,South Lawndale,5.105,15.2,30.7,15.8,54.8,33.8,10402,96,0.3,24.95,3.52,12.91,0.13,83.03,medium
31,Lower West Side,5.991,9.6,25.8,15.8,40.7,32.6,16444,76,0.23,28.71,8.15,1.76,0.29,88.9,medium
32,Loop,35.737,1.5,14.7,5.7,3.1,13.5,65526,3,0.03,8.9,62.05,19.65,10,5.95,extreme
33,Near South Side,19.428,1.3,13.8,4.9,7.4,21.8,59077,7,0.08,19.32,25.17,63.64,5.48,3.96,extreme
34,Armour Square,8.321,5.7,40.1,16.7,34.5,38.3,16148,82,0.24,18.74,17.14,17,60.73,3.72,high
35,Douglas,9.056,1.8,29.6,18.2,14.3,30.7,23791,47,0.23,50.01,6.59,85.51,5.29,1.11,high
36,Oakland,10.154,1.3,39.7,28.7,18.4,40.4,19252,78,0.38,58.95,0.65,97.5,0.15,0.95,high
37,Fuller Park,26.789,3.2,51.2,33.9,26.6,44.9,10432,97,0.48,54.27,0.53,94.3,0.26,3.39,extreme
38,Grand Boulevard,12.583,3.3,29.3,24.3,15.9,39.5,23472,57,0.32,57.11,0.62,97.73,0.08,0.84,high
39,Kenwood,8.499,2.4,21.7,15.7,11.3,35.4,35911,26,0.17,44,15.87,75.7,4.31,1.64,high
40,Washington Park,20.235,5.6,42.1,28.6,25.4,42.8,13785,88,0.51,69.75,0.52,97.54,0.06,0.95,extreme
41,Hyde Park,5.097,1.5,18.4,8.4,4.3,26.2,39056,14,0.08,25.25,43.52,37.73,11.3,4.11,medium
42,Woodlawn,17.345,2.9,30.7,23.4,16.5,36.1,18672,58,0.31,57.28,2.81,94.21,0.78,1.06,extreme
43,South Shore,15.035,2.8,31.1,20,14,35.7,19398,55,0.33,58.13,1.14,96.51,0.16,1.03,extreme
44,Chatham,15.8,3.3,27.8,24,14.5,40.3,18881,60,0.3,55.7,0.32,98.02,0.12,0.59,extreme
45,Avalon Park,13.053,1.4,17.2,21.1,10.6,39.3,24454,41,0.27,42.66,0.86,97.03,0.18,0.76,extreme
46,South Chicago,13.643,4.7,29.8,19.7,26.6,41.1,16579,75,0.32,41.8,2.94,68.02,0.15,27.37,extreme
47,Burnside,13.139,6.8,33,18.6,19.3,42.7,12515,79,0.36,43.24,1.21,96.54,0.21,1.03,extreme
48,Calumet Heights,9.44,2.1,11.5,20,11,44,28887,38,0.16,42.01,1.29,92.76,0.24,4.68,high
49,Roseland,14.87,2.5,19.8,20.3,16.9,41.2,17949,52,0.27,47.98,0.52,97.81,0.07,0.69,extreme
50,Pullman,11.786,1.5,21.6,22.8,13.1,38.6,20588,51,0.26,53.12,8.49,81.4,0.17,8.91,high
51,South Deering,10.792,4,29.2,16.3,21,39.5,14685,65,0.24,45.27,7.58,60.83,0.05,30.46,high
52,East Side,6.047,6.8,19.2,12.1,31.9,42.8,17104,64,0.16,25.35,29.39,1.02,0.25,68.12,medium
53,West Pullman,12.721,3.3,25.9,19.4,20.5,42.1,16563,62,0.3,47.57,0.89,93.53,0.05,4.64,extreme
54,Riverdale,10.69,5.8,56.5,34.6,27.5,51.5,8201,98,0.66,69.45,0.67,96.64,0.1,1.63,high
55,Hegewisch,6.143,3.3,17.1,9.6,19.2,42.9,22677,44,0.13,25.32,67,1.33,0.35,28.83,medium
56,Garfield Ridge,6.091,2.6,8.8,11.3,19.3,38.1,26353,32,0.08,16.38,68.91,12.24,0.94,16.48,medium
57,Archer Heights,8.371,8.5,14.1,16.5,35.9,39.2,16134,67,0.17,20.92,53.4,0.59,0.43,43.38,high
58,Brighton Park,5.997,14.4,23.6,13.9,45.1,39.3,13089,84,0.23,20.53,18.48,0.49,2.88,76.61,medium
59,McKinley Park,7.304,7.2,18.7,13.4,32.9,35.6,16954,61,0.16,21.97,28.86,0.73,7.59,61.51,high
60,Bridgeport,5.321,4.5,18.9,13.7,22.2,31.3,22694,43,0.13,22.08,41.01,1.05,26.16,30.17,medium
61,New City,11.156,11.9,29,23,41.5,38.9,12765,91,0.37,29.19,13.13,35.29,0.3,50.17,high
62,West Elsdon,6.982,11.1,15.6,16.7,37,37.7,15754,69,0.18,21.45,46.86,0.46,0.86,49.46,high
63,Gage Park,6.916,15.8,23.4,18.2,51.5,38.8,12171,93,0.26,18.56,12.28,7,0.42,79.3,medium
64,Clearing,5.127,2.7,8.9,9.5,18.8,37.6,25113,29,0.08,20.65,76.34,0.61,0.69,20.99,medium
65,West Lawn,7.28,5.8,14.9,9.6,33.6,39.6,16907,56,0.1,19.26,42.89,2.6,0.94,51.92,high
66,Chicago Lawn,11.993,7.6,27.9,17.1,31.2,40.6,13231,80,0.26,41.45,10.08,52.5,0.65,35.06,high
67,West Englewood,18.503,4.8,34.4,35.9,26.3,40.7,11317,89,0.41,54.86,0.36,97.77,0.07,1.01,extreme
68,Englewood,19.198,3.8,46.6,28,28.5,42.5,11888,94,0.42,63.63,0.44,97.84,0.08,0.86,extreme
69,Greater Grand Crossing,17.953,3.6,29.6,23,16.5,41,17285,66,0.32,60.78,0.38,97.82,0.08,0.71,extreme
70,Ashburn,6.595,4,10.4,11.7,17.7,36.9,23482,37,0.11,26.6,36.75,43.06,1.03,16.86,medium
71,Auburn Gresham,14.551,4,27.6,28.3,18.5,41.9,15528,74,0.34,57.05,0.42,98.09,0.08,0.62,extreme
72,Beverly,4.574,0.9,5.1,8,3.7,40.5,39523,12,0.04,16.24,62.81,31.86,0.57,2.92,medium
73,Washington Height,11.098,1.1,16.9,20.8,13.7,42.6,19713,48,0.21,46.66,0.65,97.54,0.06,0.77,high
74,Mount Greenwood,3.317,1,3.4,8.7,4.3,36.8,34381,16,0.02,11.64,91,3.57,0.36,3.84,medium
75,Morgan Park,9.142,0.8,13.2,15,10.8,40.3,27149,30,0.16,33.69,29.77,66.66,0.34,2.11,high
76,OHare,12.16,3.6,15.4,7.1,10.9,30.3,25828,24,0.04,13.3,81.64,2.12,7.35,6.39,high
77,Edgewater,4.276,4.1,18.2,9.2,9.7,23.8,33385,19,0.09,18.42,47.88,16.98,11.65,19.58,medium
